BathroomCount,BedroomCount,ConstructionYear,District,Fireplace,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfSale
1,2,2002,Brussels,0,0,127,INSTALLED,100,Anderlecht,80,1,B,1070,1200,20025765,Brussels,Brussels,5,0,AS_NEW,apartment,333,0,0,1,residential_monthly_rent
1,1,1964,Leuven,0,0,127,INSTALLED,130,Tienen,0,1,D,3300,850,20025767,Flemish Brabant,Flanders,1,0,AS_NEW,house,0,0,1,1,residential_monthly_rent
1,0,2002,Brussels,0,0,127,INSTALLED,120,Schaerbeek,100,3,B,1030,690,20025763,Brussels,Brussels,5,0,GOOD,flat_studio,333,0,0,1,residential_monthly_rent
1,1,2002,Brussels,0,0,127,INSTALLED,25,Etterbeek,150,3,B,1040,700,20025760,Brussels,Brussels,1,0,AS_NEW,flat_studio,333,0,0,1,residential_monthly_rent
1,3,2002,Antwerp,0,0,127,INSTALLED,75,Antwerpen,0,3,B,2100,900,20025761,Antwerp,Flanders,5,0,GOOD,apartment,333,0,0,1,residential_monthly_rent
0,0,2002,Oostend,0,0,127,INSTALLED,120,Oostende,175,3,B,8400,700,10919151,West Flanders,Flanders,1,0,GOOD,flat_studio,333,0,0,0,residential_monthly_rent
1,2,2002,Brussels,1,0,127,INSTALLED,97,Woluwe-St-Lambert,200,3,C,1200,1900,10919009,Brussels,Brussels,5,0,GOOD,apartment,333,0,0,1,residential_monthly_rent
1,2,1971,Antwerp,0,0,127,SEMI_EQUIPPED,110,Antwerpen,295,2,C,2170,930,20025755,Antwerp,Flanders,5,0,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
2,5,2002,Huy,0,1,280,INSTALLED,196,Huy,0,2,D,4500,1200,20025752,Liège,Wallonie,5,0,GOOD,house,532,0,1,1,residential_monthly_rent
1,2,2000,Verviers,0,1,300,INSTALLED,110,Aubel,50,3,B,4880,750,20025746,Liège,Wallonie,8,0,GOOD,apartment,333,0,1,1,residential_monthly_rent
1,2,2002,Oostend,0,0,127,INSTALLED,65,Oostende,0,3,B,8400,670,20025744,West Flanders,Flanders,8,0,GOOD,apartment,333,0,0,1,residential_monthly_rent
1,1,2002,Antwerp,0,0,127,INSTALLED,70,Antwerpen,140,2,B,2050,850,20025729,Antwerp,Flanders,1,0,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,3,2016,Mechelen,0,0,127,INSTALLED,130,Mechelen,80,3,B,2800,1150,20025730,Antwerp,Flanders,5,0,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,1,2002,Brussels,0,0,127,INSTALLED,110,Brussel,130,3,B,1000,1250,20025726,Brussels,Brussels,4,0,GOOD,duplex,333,0,0,1,residential_monthly_rent
1,2,2002,Aalst,0,0,127,INSTALLED,95,Aalst,0,2,B,9300,720,20025724,East Flanders,Flanders,5,0,GOOD,duplex,333,0,1,1,residential_monthly_rent
1,2,2002,Brussels,0,0,127,INSTALLED,120,Ixelles,0,3,B,1050,1000,20025719,Brussels,Brussels,5,0,GOOD,apartment,333,0,1,1,residential_monthly_rent
1,1,2002,Antwerp,0,0,127,INSTALLED,65,Antwerpen,25,3,B,2170,795,20025718,Antwerp,Flanders,5,1,AS_NEW,apartment,333,0,0,1,residential_monthly_rent
1,2,2017,Huy,0,0,127,HYPER_EQUIPPED,80,Huy,100,3,B,4500,860,20025716,Liège,Wallonie,1,1,AS_NEW,apartment,333,0,1,2,residential_monthly_rent
2,3,1920,Brussels,0,1,30,HYPER_EQUIPPED,140,Etterbeek,0,2,C,1040,2300,20025713,Brussels,Brussels,5,0,GOOD,triplex,333,0,0,2,residential_monthly_rent
1,2,2022,Hasselt,0,0,127,INSTALLED,92,Leopoldsburg,65,2,A,3970,900,20025708,Limburg,Flanders,5,0,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,4,1959,Roeselare,0,0,127,INSTALLED,282,Izegem,0,2,C,8870,1150,20025710,West Flanders,Flanders,1,0,GOOD,mansion,0,0,0,2,residential_monthly_rent
1,3,2015,Nivelles,0,1,175,INSTALLED,125,Wavre,0,2,B,1300,1550,20025709,Walloon Brabant,Wallonie,5,1,AS_NEW,house,240,0,1,2,residential_monthly_rent
1,2,2016,Liège,0,0,127,INSTALLED,45,Liège,0,2,B,4020,550,20025705,Liège,Wallonie,4,0,JUST_RENOVATED,apartment,333,0,0,1,residential_monthly_rent
1,1,2019,Charleroi,0,1,15,USA_INSTALLED,70,Charleroi,50,2,A,6010,640,20025701,Hainaut,Wallonie,4,1,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,2,2002,Aalst,0,0,127,HYPER_EQUIPPED,120,Geraardsbergen,0,3,B,9500,650,20025700,East Flanders,Flanders,5,0,JUST_RENOVATED,duplex,333,0,0,1,residential_monthly_rent
1,1,2002,Virton,0,0,127,INSTALLED,120,Tintigny,100,3,F,6730,490,20025699,Luxembourg,Wallonie,3,1,GOOD,apartment,333,0,0,1,residential_monthly_rent
1,3,2002,Halle-Vilvoorde,1,1,500,SEMI_EQUIPPED,120,Beersel,0,4,B,1653,1350,20025698,Flemish Brabant,Flanders,5,0,GOOD,house,500,0,1,1,residential_monthly_rent
1,1,2002,Dinant,0,1,50,USA_SEMI_EQUIPPED,90,Somme-Leuze,0,3,A,5377,850,20025696,Namur,Wallonie,5,1,AS_NEW,house,0,0,0,2,residential_monthly_rent
1,2,2002,Hasselt,0,0,127,INSTALLED,98,Hasselt,55,2,C,3500,844,20025695,Limburg,Flanders,5,0,GOOD,apartment,333,0,0,1,residential_monthly_rent
1,2,2017,Antwerp,0,0,127,INSTALLED,75,Antwerpen,65,2,B,2000,1090,20025694,Antwerp,Flanders,5,0,AS_NEW,ground_floor,333,0,1,1,residential_monthly_rent
1,2,2002,Halle-Vilvoorde,0,1,30,INSTALLED,95,Ternat,0,3,B,1740,900,20025692,Flemish Brabant,Flanders,5,0,JUST_RENOVATED,apartment,333,0,0,1,residential_monthly_rent
2,3,2012,Antwerp,0,0,127,INSTALLED,121,ANTWERPEN,100,3,B,2018,1290,20025691,Antwerp,Flanders,5,0,AS_NEW,apartment,333,0,1,2,residential_monthly_rent
1,2,2016,Roeselare,0,0,127,HYPER_EQUIPPED,92,Ingelmunster,50,2,B,8770,775,20025690,West Flanders,Flanders,5,1,AS_NEW,apartment,333,0,1,2,residential_monthly_rent
1,2,2002,Brussels,0,0,127,INSTALLED,90,Uccle,0,2,B,1180,1300,20025689,Brussels,Brussels,4,0,GOOD,apartment,333,0,0,1,residential_monthly_rent
1,0,2002,Brussels,0,0,127,INSTALLED,120,Bruxelles,35,3,G,1000,750,10918800,Brussels,Brussels,5,1,GOOD,flat_studio,333,0,1,1,residential_monthly_rent
1,0,1997,Nivelles,0,0,127,SEMI_EQUIPPED,38,Ottignies-Louvain-la-Neuve,50,1,B,1348,650,20025684,Walloon Brabant,Wallonie,5,0,JUST_RENOVATED,flat_studio,333,0,0,1,residential_monthly_rent
1,2,2002,Charleroi,0,1,1,SEMI_EQUIPPED,120,Fleurus,0,2,E,6224,725,20025683,Hainaut,Wallonie,6,0,GOOD,house,0,0,0,1,residential_monthly_rent
1,2,2002,Turnhout,0,0,127,INSTALLED,120,Turnhout,60,2,B,2300,850,20025681,Antwerp,Flanders,5,0,JUST_RENOVATED,apartment,333,0,1,1,residential_monthly_rent
1,3,1996,Halle-Vilvoorde,0,0,127,INSTALLED,95,WSE,120,2,B,1932,1000,20025678,Flemish Brabant,Flanders,4,0,GOOD,triplex,333,0,0,2,residential_monthly_rent
1,1,2002,Halle-Vilvoorde,0,0,127,INSTALLED,70,Zaventem,30,2,B,1930,770,20025680,Flemish Brabant,Flanders,5,1,GOOD,apartment,333,0,1,1,residential_monthly_rent
1,3,2002,Antwerp,0,0,127,INSTALLED,120,Antwerpen,0,3,B,2140,1250,20025677,Antwerp,Flanders,5,1,GOOD,apartment,333,0,1,1,residential_monthly_rent
1,2,2002,Brussels,0,0,127,INSTALLED,90,Uccle,0,2,B,1180,1400,20025672,Brussels,Brussels,4,0,JUST_RENOVATED,apartment,333,0,1,1,residential_monthly_rent
1,1,2002,Brussels,0,0,127,INSTALLED,120,Uccle,20,2,B,1180,730,20025669,Brussels,Brussels,5,0,GOOD,apartment,333,0,0,1,residential_monthly_rent
2,5,2002,Soignies,0,1,175,HYPER_EQUIPPED,235,Soignies,0,2,B,7060,1750,20025665,Hainaut,Wallonie,5,1,GOOD,town_house,215,0,1,3,residential_monthly_rent
1,1,1920,Brussels,0,0,127,HYPER_EQUIPPED,40,Bruxelles,0,2,D,1000,1100,20025668,Brussels,Brussels,5,1,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,2,2002,Liège,0,0,127,SEMI_EQUIPPED,120,Liège,120,3,B,4000,780,20025664,Liège,Wallonie,5,0,GOOD,apartment,333,0,1,1,residential_monthly_rent
2,2,2014,Brussels,0,0,127,USA_HYPER_EQUIPPED,96,Brussel,100,4,C,1000,1450,20025658,Brussels,Brussels,5,0,GOOD,apartment,333,0,0,2,residential_monthly_rent
1,4,2002,Leuven,0,1,100,INSTALLED,205,Leuven,0,2,B,3000,1750,20025662,Flemish Brabant,Flanders,5,1,GOOD,house,200,0,0,2,residential_monthly_rent
1,1,1981,Ieper,0,0,127,INSTALLED,72,Ieper,55,2,C,8900,580,20025659,West Flanders,Flanders,5,0,GOOD,apartment,333,0,1,1,residential_monthly_rent
1,2,2011,Liège,0,0,127,USA_INSTALLED,120,Liège,95,1,B,4020,885,20025660,Liège,Wallonie,5,1,AS_NEW,apartment,333,0,1,1,residential_monthly_rent
1,2,2002,Brussels,0,0,127,USA_SEMI_EQUIPPED,125,Forest,275,2,C,1190,1275,20025661,Brussels,Brussels,5,0,GOOD,apartment,333,0,1,2,residential_monthly_rent
1,0,2002,Brussels,0,0,127,INSTALLED,120,Ixelles,100,3,B,1050,590,20025655,Brussels,Brussels,5,0,GOOD,flat_studio,333,0,0,1,residential_monthly_rent
2,5,1970,Nivelles,0,1,250,HYPER_EQUIPPED,165,Rixensart,50,4,D,1330,1800,20025649,Walloon Brabant,Wallonie,5,0,JUST_RENOVATED,apartment,333,0,0,2,residential_monthly_rent
9,9,2002,Liège,0,1,250,USA_HYPER_EQUIPPED,640,Liège,175,3,B,4000,650,20025646,Liège,Wallonie,5,0,JUST_RENOVATED,flat_studio,333,0,1,1,residential_monthly_rent
1,0,2002,Charleroi,0,0,127,USA_INSTALLED,30,Charleroi,100,1,D,6042,560,20025648,Hainaut,Wallonie,2,0,GOOD,flat_studio,333,0,0,1,residential_monthly_rent
1,2,2002,Antwerp,0,0,127,INSTALLED,120,Antwerpen,60,3,B,2100,820,20025642,Antwerp,Flanders,5,0,JUST_RENOVATED,apartment,333,0,1,1,residential_monthly_rent
1,3,1964,Gent,0,1,163,HYPER_EQUIPPED,142,Gent,0,3,B,9031,1250,20025641,East Flanders,Flanders,5,0,JUST_RENOVATED,house,262,0,1,2,residential_monthly_rent
1,1,2002,Brussels,0,1,35,INSTALLED,40,Sint-Pieters-Woluwe,150,2,G,1150,900,20025645,Brussels,Brussels,5,0,GOOD,flat_studio,333,0,1,1,residential_monthly_rent
1,1,2002,Leuven,0,0,127,INSTALLED,120,Leuven,0,3,B,3000,840,20025640,Flemish Brabant,Flanders,5,0,GOOD,apartment,333,0,1,1,residential_monthly_rent
